ETIQUETTE	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
KK-1	205359.1	9350299.2	927	932.5	0.1891	0.404	1
KK-2	205319.5	9351792	959	962.5	0.1943	0.366	1
KK-3	206656.2	9348965.6	947.5	950	0.207	0.408	1
KK-4	204604.8	9351184.8	946	949.5	0.1656	0.389	1
KK-5	206542.7	9349741.9	933	937.2	0.206	0.493	1
KK-6	205811.9	9350687	931.6	935.5	0.2018	0.473	1
KK-7	204879.9	9349889.9	947.3	953	0.205	0.36	1
KK-8	205434.5	9351171.8	933	943.2	0.2024	0.443	1
KK-9	205676.7	9348960.3	954.7	958.2	0.1922	0.343	1
KK-10	205278.7	9349424.8	949.7	953.7	0.211	0.404	1
KK-11	204491.3	9350343	955.8	959.8	0.2045	0.353	1
KK-12	206127.2	9349348.4	931.5	935.3	0.2164	0.535	1
KK-13	207022.4	9349391.9	953.3	958.3	0.212	0.441	1
KK-14	204174.3	9351635.2	964	968.3	0.2181	0.345	1
KK-15	206950.3	9348476.9	965	969.7	0.2226	0.395	1
KK-16	205013.2	9351573.6	950.7	955.2	0.2031	0.396	1
KK-17	206157.4	9350210.8	927.3	931.3	0.2145	0.489	1
KK-18	204103.9	9350793.9	967.6	971.7	0.2101	0.29	1
KK-19	204629	9352026.7	965.5	970	0.2043	0.317	1
KK-20	206064.9	9348507.8	970	974.3	0.21	0.301	1
KK-21	206208.9	9351042.1	950	954.5	0.21	0.438	1
KK-22	206678.7	9350633.3	956	960.5	0.211	0.419	1
KK-23	207441.4	9348845.6	969.5	975.7	0.2142	0.32	1
KK-24	207056.3	9350209.5	965.2	970.5	0.2027	0.359	1
KK-25	207239.6	9348110	979.2	984.2	0.2261	0.225	1
KK-26	204425.4	9349500.4	993	999	0.2164	0.215	1
KK-27	205854.8	9351536.3	958.3	963.2	0.2071	0.394	1
KK-28	207004.5	9350943	985.8	990.8	0	0	1
KK-29	203717.1	9351245.8	984.2	987.5	0.2019	0.3598	1
KK-30	203794.9	9352074.1	981.2	985.7	0.22	0.202	1
KK-31	207287.4	9349773.7	971.5	976.7	0.2019	0.3598	1
KK-32	204253.3	9352468.8	979	984	0.2019	0.3598	1
KK-33	205082	9352414.1	979	983.7	0.228	0.253	1
KK-34	205636.4	9351991.5	972	977	0.2019	0.3598	1
KK-35	205133	9353273.1	994.8	1000	0.212	0.21	1
KK-36	206581.2	9348530.8	960.8	965	0.2019	0.3598	1
KK-37	204964.3	9349111.9	982.3	986	0.2019	0.3598	1
KK-38	206623.8	9349369.9	938	942.5	0.21	0.472	1
KK-39	204574.9	9350793.5	944.5	948.5	0.2019	0.3598	1
KK-40	206183.5	9348989.6	943.5	947.5	0.2019	0.3598	1
KK-41	205833.5	9351116.3	943	947.3	0.2019	0.3598	1
KK-42	205424.6	9351496.2	949.3	954	0.214	0.423	1
