ETIQUETTE	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
KK-1	205359.1	9350299.2	955.7	968.8	0.239	0.303	1
KK-2	205319.5	9351792	985.6	993	0.2512	0.233	1
KK-3	206656.2	9348965.6	966.3	978	0.2431	0.234	1
KK-4	204604.8	9351184.8	965	976.3	0.2433	0.259	1
KK-5	206542.7	9349741.9	953	966	0.2417	0.288	1
KK-6	205811.9	9350687	950.7	962.5	0.2471	0.32	1
KK-7	204879.9	9349889.9	968.5	978.5	0.2493	0.255	1
KK-8	205434.5	9351171.8	959.5	971	0.2472	0.272	1
KK-9	205676.7	9348960.3	974.5	985	0.2435	0.244	1
KK-10	205278.7	9349424.8	967.5	979	0.2511	0.251	1
KK-11	204491.3	9350343	975.3	985.5	0.2707	0.271	1
KK-12	206127.2	9349348.4	950.8	961.5	0.2491	0.325	1
KK-13	207022.4	9349391.9	975.3	987.6	0.2366	0.261	1
KK-14	204174.3	9351635.2	984.2	995.6	0.2561	0.225	1
KK-15	206950.3	9348476.9	986.3	1000	0.2622	0.229	1
KK-16	205013.2	9351573.6	971.5	984	0.2601	0.276	1
KK-17	206157.4	9350210.8	946.6	958.5	0.247	0.328	1
KK-18	204103.9	9350793.9	987	998	0.2611	0.239	1
KK-19	204629	9352026.7	987.5	999.5	0.2672	0.266	1
KK-20	206064.9	9348507.8	982.5	1001	0.2521	0.247	1
KK-21	206208.9	9351042.1	971	983.5	0.251	0.27	1
KK-22	206678.7	9350633.3	978	990.5	0.2591	0.294	1
KK-23	207441.4	9348845.6	993.3	1006	0.2681	0.249	1
KK-24	207056.3	9350209.5	990	1002	0.2562	0.251	1
KK-25	207239.6	9348110	1002	1015	0.276	0.238	1
KK-26	204425.4	9349500.4	1015	1026	0.2551	0.213	1
KK-27	205854.8	9351536.3	980.5	993.5	0.2643	0.248	1
KK-28	207004.5	9350943	1006	1023	0.2852	0.235	1
KK-29	203717.1	9351245.8	1002	1014	0.2484	0.2467	1
KK-30	203794.9	9352074.1	1002	1014	0.2681	0.238	1
KK-31	207287.4	9349773.7	995	1008	0.2484	0.2467	1
KK-32	204253.3	9352468.8	1002	1016	0.2484	0.2467	1
KK-33	205082	9352414.1	1003	1016	0.289	0	1
KK-34	205636.4	9351991.5	995.5	1009	0.2484	0.2467	1
KK-35	205133	9353273.1	1020	1035	0	0	1
KK-36	206581.2	9348530.8	981	992.5	0.2484	0.2467	1
KK-37	204964.3	9349111.9	1000	1013	0.2484	0.2467	1
KK-38	206623.8	9349369.9	955.2	970	0.2522	0.301	1
KK-39	204574.9	9350793.5	960.5	974	0.2484	0.2467	1
KK-40	206183.5	9348989.6	959.5	971.5	0.2484	0.2467	1
KK-41	205833.5	9351116.3	960.5	976	0.2484	0.2467	1
KK-42	205424.6	9351496.2	967.7	983.5	0.2551	0.277	1
