ETIQUETTE	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
KK-1	205359.1	9350299.2	949.7	955.7	0.2245	0.326	1
KK-2	205319.5	9351792	970	985.6	0.2322	0.239	1
KK-3	206656.2	9348965.6	963.3	966.3	0.2411	0.297	1
KK-4	204604.8	9351184.8	962.3	965	0.2353	0.307	1
KK-5	206542.7	9349741.9	950	953	0.2394	0.344	1
KK-6	205811.9	9350687	947.8	950.7	0.2472	0.393	1
KK-7	204879.9	9349889.9	964.5	968.5	0.2411	0.29	1
KK-8	205434.5	9351171.8	956	959.5	0.2271	0.305	1
KK-9	205676.7	9348960.3	970.7	974.5	0.233	0.249	1
KK-10	205278.7	9349424.8	965.5	967.5	0.2431	0.313	1
KK-11	204491.3	9350343	971.7	975.3	0.2362	0.259	1
KK-12	206127.2	9349348.4	949.5	950.8	0.231	0.283	1
KK-13	207022.4	9349391.9	972.3	975.3	0.2371	0.315	1
KK-14	204174.3	9351635.2	981.6	984.2	0.25	0.245	1
KK-15	206950.3	9348476.9	983	986.3	0.2474	0.215	1
KK-16	205013.2	9351573.6	968.3	971.5	0.2441	0.305	1
KK-17	206157.4	9350210.8	944	946.6	0.2416	0.377	1
KK-18	204103.9	9350793.9	983.8	987	0.0267	0.278	1
KK-19	204629	9352026.7	984.5	987.5	0	0	1
KK-20	206064.9	9348507.8	987	982.5	0	0	1
KK-21	206208.9	9351042.1	967.8	971	0.232	0.297	1
KK-22	206678.7	9350633.3	974.5	978	0.2401	0.269	1
KK-23	207441.4	9348845.6	988.7	993.3	0	0	1
KK-24	207056.3	9350209.5	988.2	990	0	0	1
KK-25	207239.6	9348110	998.5	1002	0	0	1
KK-26	204425.4	9349500.4	1012	1015	0	0	1
KK-27	205854.8	9351536.3	977.5	980.5	0.2391	0.243	1
KK-28	207004.5	9350943	1005	1006	0	0	1
KK-29	203717.1	9351245.8	1000	1002	0.1681	0.2136	1
KK-30	203794.9	9352074.1	999.2	1002	0	0	1
KK-31	207287.4	9349773.7	991.7	995	0.1681	0.2136	1
KK-32	204253.3	9352468.8	998.8	1002	0.1681	0.2136	1
KK-33	205082	9352414.1	999.7	1003	0.2761	0	1
KK-34	205636.4	9351991.5	992.3	995.5	0.1681	0.2136	1
KK-35	205133	9353273.1	1017	1020	0	0	1
KK-36	206581.2	9348530.8	978	981	0.1681	0.2136	1
KK-37	204964.3	9349111.9	999	1000	0.1681	0.2136	1
KK-38	206623.8	9349369.9	955.2	955.2	0.2432	0.568	1
KK-39	204574.9	9350793.5	960.5	960.5	0.1681	0.2136	1
KK-40	206183.5	9348989.6	959.5	959.5	0.1681	0.2136	1
KK-41	205833.5	9351116.3	960.5	960.5	0.1681	0.2136	1
KK-42	205424.6	9351496.2	967.7	967.7	0.2372	0.291	1
