ETIQUETTE	X	Y	TOIT	MUR	POROSITE	SATURATION	NETPAY
KK-1	205359.1	9350299.2	920	926.5	0.2152	0.0811	1
KK-2	205319.5	9351792	952	958	0.1919	0.0081	1
KK-3	206656.2	9348965.6	940	945.7	0.1986	0.093	1
KK-4	204604.8	9351184.8	940	945.7	0.2028	0.1395	1
KK-5	206542.7	9349741.9	927	932.5	0.2073	0.0899	1
KK-6	205811.9	9350687	925.8	931	0.2089	0.1337	1
KK-7	204879.9	9349889.9	943	946.5	0.2102	0.0995	1
KK-8	205434.5	9351171.8	933	938.2	0.1943	0.0117	1
KK-9	205676.7	9348960.3	949	954.2	0.211	0.1242	1
KK-10	205278.7	9349424.8	943.8	949	0.2088	0.1283	1
KK-11	204491.3	9350343	950	955.2	0.2121	0.1229	1
KK-12	206127.2	9349348.4	926	930.8	0.20101	0.0966	1
KK-13	207022.4	9349391.9	946.8	951.2	0.2086	0.1231	1
KK-14	204174.3	9351635.2	957.8	963.5	0.214	0.1298	1
KK-15	206950.3	9348476.9	958.9	964.3	0.2099	0.1088	1
KK-16	205013.2	9351573.6	944.5	950.2	0.2238	0.0855	1
KK-17	206157.4	9350210.8	921.8	926.7	0.2197	0.127	1
KK-18	204103.9	9350793.9	962	967	0.2168	0.1552	1
KK-19	204629	9352026.7	959	964.8	0.2123	0.1455	1
KK-20	206064.9	9348507.8	963.7	969	0.218	0.1605	1
KK-21	206208.9	9351042.1	944	949	0.2087	0.1198	1
KK-22	206678.7	9350633.3	950.2	955.3	0.229	0.1882	1
KK-23	207441.4	9348845.6	963	968.5	0.2084	0.1314	1
KK-24	207056.3	9350209.5	959	964.5	0.2148	0.1402	1
KK-25	207239.6	9348110	972.3	978	0.2206	0.1562	1
KK-26	204425.4	9349500.4	988.3	992.5	0.2148	0.1444	1
KK-27	205854.8	9351536.3	952	957.7	0.218	0.1427	1
KK-28	207004.5	9350943	979.6	984.9	0.2132	0.1178	1
KK-29	203717.1	9351245.8	997	982.8	0.2116	0.1167	1
KK-30	203794.9	9352074.1	974.8	980.8	0.2102	0.0704	1
KK-31	207287.4	9349773.7	965	970.7	0.2116	0.1167	1
KK-32	204253.3	9352468.8	972.2	978.3	0.2116	0.1167	1
KK-33	205082	9352414.1	966	978.3	0.2231	0.1681	1
KK-34	205636.4	9351991.5	988	971.5	0.2116	0.1167	1
KK-35	205133	9353273.1	988	994.8	0.212	0.118	1
KK-36	206581.2	9348530.8	954.8	960.8	0.2116	0.1167	1
KK-37	204964.3	9349111.9	976	982.3	0.2116	0.1167	1
KK-38	206623.8	9349369.9	932.5	938	0.192	0.0082	1
KK-39	204574.9	9350793.5	938.5	944.5	0.2116	0.1167	1
KK-40	206183.5	9348989.6	938.5	943.5	0.2116	0.1167	1
KK-41	205833.5	9351116.3	937.5	943	0.2116	0.1167	1
KK-42	205424.6	9351496.2	943.5	949	0.218	0.1822	1
